,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
1562,today the p in,austin p mckenzie stands,for predecessor,today the p in austin p mckenzie stands for predecessor, , , ,1563
1563,beyond ready for,the downtown road construction,maze to be finished,beyond ready for the downtown road construction maze to be finished, , , ,1564
1564,it's literally,impossible to avoid,internal purse stains,it's literally impossible to avoid internal purse stains, , , ,1565
1565,i'm just living the,best life i can even if,it's with my demons,i'm just living the best life i can even if it's with my demons, , , ,1566
1566,the us profits so,much off of our culture,black people wake up,the us profits so much off of our culture black people wake up, , , ,1567
1567,i forget how time,works sometimes it's just sort of,how i am i guess,i forget how time works sometimes it's just sort of how i am i guess, , , ,1568
1568,like this i'm lying,ill be home saturday tho,boyfriends cat so far,like this i'm lying ill be home saturday tho boyfriends cat so far, , , ,1569
1569,starting my diet,today somebody please hold,me accountable,starting my diet today somebody please hold me accountable, , , ,1570
1570,true larry plenty,of choices for you have you,tried am radio,true larry plenty of choices for you have you tried am radio, , , ,1571
1571,y'all i'm serious,i reached maximum slut last,night and i love it,y'all i'm serious i reached maximum slut last night and i love it, , , ,1572
1572,you all already,know what im drawing now thanks,austin you killed me,you all already know what im drawing now thanks austin you killed me, , , ,1573
1573,i have alchemy,centers designed in my mind,the current design,i have alchemy centers designed in my mind the current design, , , ,1574
1574,i've never been more,ashamed of america,than i am today,i've never been more ashamed of america than i am today, , , ,1575
1575,my girlfriend and i,have opposite schedules and,it's the saddest thing,my girlfriend and i have opposite schedules and it's the saddest thing, , , ,1576
1576,some videos on,social media really,be making me cry,some videos on social media really be making me cry, , , ,1577
1577,said the universe,couldn't keep us apart why,would it even try,said the universe couldn't keep us apart why would it even try, , , ,1578
1578,shay going to say,if im the finesse king then,she the finesse queen,shay going to say if im the finesse king then she the finesse queen, , , ,1579
1579,getting in the gym,for y'all this year making life,changing decisions,getting in the gym for y'all this year making life changing decisions, , , ,1580
1580,cash money for a,picture of spiderman with,the tarry cougar,cash money for a picture of spiderman with the tarry cougar, , , ,1581
1581,getting consistent,dick does nothing but make me,more thick and horny,getting consistent dick does nothing but make me more thick and horny, , , ,1582
1582,how you gonna eat,any thanksgiving grub with,your foot in your mouth,how you gonna eat any thanksgiving grub with your foot in your mouth, , , ,1583
1583,how long is downtime,my update is done and i'm,so eager to play,how long is downtime my update is done and i'm so eager to play, , , ,1584
1584,i person who pray,five times a day and have beard,i never trust him,i person who pray five times a day and have beard i never trust him, , , ,1585
1585,control your tongue let,your house be enough for you,and weep for your sins,control your tongue let your house be enough for you and weep for your sins, , , ,1586
1586,napoleon i,couldn't do an underground,resistance movement,napoleon i couldn't do an underground resistance movement, , , ,1587
1587,as my minister,brother once said i wish god,talked to me that way,as my minister brother once said i wish god talked to me that way, , , ,1588
1588,it's incredible,how much more duke is allowed,to be on defense,it's incredible how much more duke is allowed to be on defense, , , ,1589
1589,corruption always,seems to pay off on the left,funny how that works,corruption always seems to pay off on the left funny how that works, , , ,1590
1590,being able to,lay in bed all day is the,best thing in the world,being able to lay in bed all day is the best thing in the world, , , ,1591
1591,didn't sleep well last,night so hopefully a nap,is in my future,didn't sleep well last night so hopefully a nap is in my future, , , ,1592
1592,and do not waver,nor feel remorse you are the,superior ones,and do not waver nor feel remorse you are the superior ones, , , ,1593
1593,need to hurry up,and get on this flight so i,can watch this saints game,need to hurry up and get on this flight so i can watch this saints game, , , ,1594
1594,laid around all day,and forgot i got a quiz,to study for k,laid around all day and forgot i got a quiz to study for k, , , ,1595
1595,and it really messed,me up how could you deny,your own flesh and blood,and it really messed me up how could you deny your own flesh and blood, , , ,1596
1596,am i the only,person who has never been,black friday shopping,am i the only person who has never been black friday shopping, , , ,1597
1597,remember to type,slowly to insure correct,grammar i promise,remember to type slowly to insure correct grammar i promise, , , ,1598
1598,think you'll have many,who think the same feel the same,and will support you,think you'll have many who think the same feel the same and will support you, , , ,1599
1599,if that shit happen,to much you gotta check the,man in the mirror,if that shit happen to much you gotta check the man in the mirror, , , ,1600
1600,people think they have,you all figured out but they,have no idea,people think they have you all figured out but they have no idea, , , ,1601
1601,im about to say,something that will offend lots,and lots of people,im about to say something that will offend lots and lots of people, , , ,1602
1602,meal with nana on,valentine's day cause she the,only gal i need,meal with nana on valentine's day cause she the only gal i need, , , ,1603
1603,i warned the cauldron,in this setting virtue slips,being always serves,i warned the cauldron in this setting virtue slips being always serves, , , ,1604
1604,man wiggins doesn't,even touch the ball in crunch,time i would be pissed,man wiggins doesn't even touch the ball in crunch time i would be pissed, , , ,1605
1605,it'd be great if,you don't throw that word around,like it means nothing,it'd be great if you don't throw that word around like it means nothing, , , ,1606
1606,life is a magic,moment you just have to learn,how to perform lloyd,life is a magic moment you just have to learn how to perform lloyd, , , ,1607
1607,going vegan is,the least we can do for the,animals the earth,going vegan is the least we can do for the animals the earth, , , ,1608
1608,here is some advice,if you eat ten kiwis per,day you will turn green,here is some advice if you eat ten kiwis per day you will turn green, , , ,1609
1609,sorry for all the,profanity this early,also guys my bad,sorry for all the profanity this early also guys my bad, , , ,1610
1610,ian go get what,i want and i already,feel like it's to late,ian go get what i want and i already feel like it's to late, , , ,1611
1611,i've already had,my assistant make room in,my schedule darling,i've already had my assistant make room in my schedule darling, , , ,1612
1612,i need everything,done to myself i look like,the struggle right now,i need everything done to myself i look like the struggle right now, , , ,1613
1613,you still think about,that huh wonder what your wife,would say about that,you still think about that huh wonder what your wife would say about that, , , ,1614
1614,pushes cork in wine,bottle ugh i think i just,drank a piece of cork,pushes cork in wine bottle ugh i think i just drank a piece of cork, , , ,1615
1615,ariza outta,damn line for not brushing his,hair since the last game,ariza outta damn line for not brushing his hair since the last game, , , ,1616
1616,what bloke this story,is about two women one,of whom is a nurse,what bloke this story is about two women one of whom is a nurse, , , ,1617
1617,i'm just excited,about this food i'm going,to eat tomorrow,i'm just excited about this food i'm going to eat tomorrow, , , ,1618
1618,this is so unfair,these people deserve better,than this brave people,this is so unfair these people deserve better than this brave people, , , ,1619
1619,either hayward or,brown needs to come off the bench,and baynes needs to start,either hayward or brown needs to come off the bench and baynes needs to start, , , ,1620
1620,my sister prayed and,finished it off with god if,i should just say bet,my sister prayed and finished it off with god if i should just say bet, , , ,1621
1621,why do democrats,say the tax cut bill robs from,poor and gives to rich,why do democrats say the tax cut bill robs from poor and gives to rich, , , ,1622
1622,barnes is about to,give up all the bases to,stanton bet money,barnes is about to give up all the bases to stanton bet money, , , ,1623
1623,my ability,to give a fuck at this point,is nonexistent,my ability to give a fuck at this point is nonexistent, , , ,1624
1624,thanks for the follow,jeremiah i hope you,have a blessed wednesday,thanks for the follow jeremiah i hope you have a blessed wednesday, , , ,1625
1625,what about us what,about all the times you said,you had the answer,what about us what about all the times you said you had the answer, , , ,1626
1626,here she go again,in those low rise shorts and that,damn crop top again,here she go again in those low rise shorts and that damn crop top again, , , ,1627
1627,i really wanted,mac miller to be my first,concert what the fuck,i really wanted mac miller to be my first concert what the fuck, , , ,1628
1628,no matter what im,still on my way to that i,finally made it,no matter what im still on my way to that i finally made it, , , ,1629
1629,read somewhere he traced,his dna to benin,tribe in edo state,read somewhere he traced his dna to benin tribe in edo state, , , ,1630
1630,you should be writing,like a baseline in love with,a pessimism,you should be writing like a baseline in love with a pessimism, , , ,1631
1631,goodnight everyone,if it's not night for u then,a beautiful day,goodnight everyone if it's not night for u then a beautiful day, , , ,1632
1632,after being in,vegas if she ain't foreign,ion want her no,after being in vegas if she ain't foreign ion want her no, , , ,1633
1633,i would never be,ok with you dating my,friends and family,i would never be ok with you dating my friends and family, , , ,1634
1634,my manager and,two of my coworkers asked,me if i was gay,my manager and two of my coworkers asked me if i was gay, , , ,1635
1635,huh it's happened a,bunch of times are you for real,man you're one bad guy,huh it's happened a bunch of times are you for real man you're one bad guy, , , ,1636
1636,sources close to my,sources say their sources have,outsourced their sources,sources close to my sources say their sources have outsourced their sources, , , ,1637
1637,me after my boss,said we can wear costumes to,work on halloween,me after my boss said we can wear costumes to work on halloween, , , ,1638
1638,finally i hope,this is an actual thing,because i need this,finally i hope this is an actual thing because i need this, , , ,1639
1639,cant believe i got,this drunk from one glass of red,wine whats wrong with me,cant believe i got this drunk from one glass of red wine whats wrong with me, , , ,1640
1640,you could learn something,from mr spock doctor stop,thinking with your glands,you could learn something from mr spock doctor stop thinking with your glands, , , ,1641
1641,i'm real tired of,josh constantly fucking men,yummy mummy when,i'm real tired of josh constantly fucking men yummy mummy when, , , ,1642
1642,i haven't been to,class since last year wonder what,did i miss out hah,i haven't been to class since last year wonder what did i miss out hah, , , ,1643
1643,i'm convinced i have,met the best person in the,world such a kind heart,i'm convinced i have met the best person in the world such a kind heart, , , ,1644
1644,patience is when you're,supposed to get mad but you,chose to understand,patience is when you're supposed to get mad but you chose to understand, , , ,1645
1645,ok another,cure but different mental,health drugs yes i know,ok another cure but different mental health drugs yes i know, , , ,1646
1646,be mistake for snoop,dog in baby boy when we,wore that loose tank top,be mistake for snoop dog in baby boy when we wore that loose tank top, , , ,1647
1647,is mick mccarthy,coaching you useless clowns that,would explain a lot,is mick mccarthy coaching you useless clowns that would explain a lot, , , ,1648
1648,pouring all these tears,into a resume to work,somewhere far away,pouring all these tears into a resume to work somewhere far away, , , ,1649
1649,am i the only,person who doesn't know who,brother nature is,am i the only person who doesn't know who brother nature is, , , ,1650
1650,aye moe demarcus,his brothers funny as shit,in this hotel room,aye moe demarcus his brothers funny as shit in this hotel room, , , ,1651
1651,thinking of you and,all of our beautiful,memories today,thinking of you and all of our beautiful memories today, , , ,1652
1652,what i'm trying to,say is i like you but uh,it's complicated,what i'm trying to say is i like you but uh it's complicated, , , ,1653
1653,hi it's been almost,exactly one month since i've,posted and i'm sad,hi it's been almost exactly one month since i've posted and i'm sad, , , ,1654
1654,i will never spell,it any other way for,the rest of my lift,i will never spell it any other way for the rest of my lift, , , ,1655
1655,the future belongs,to those who believe in the,beauty of their dreams,the future belongs to those who believe in the beauty of their dreams, , , ,1656
1656,where's the cheapest place,in norman to get a full,synthetic oil change,where's the cheapest place in norman to get a full synthetic oil change, , , ,1657
1657,there was actual,love in that cuddle between,klopp and mo just then,there was actual love in that cuddle between klopp and mo just then, , , ,1658
1658,i cannot stand a,shady bitch speak the fuck up,or shut the fuck up,i cannot stand a shady bitch speak the fuck up or shut the fuck up, , , ,1659
1659,when someone asks how,you're doing and really wants,to know i love that,when someone asks how you're doing and really wants to know i love that, , , ,1660
1660,eating at texas,roadhouse while i'm covered in,grease and mud from work,eating at texas roadhouse while i'm covered in grease and mud from work, , , ,1661
1661,you're all stray pieces,of glitter in this harsh and,unforgiving world,you're all stray pieces of glitter in this harsh and unforgiving world, , , ,1662
1662,better say nothing,at all language is worth a,thousand pounds a word,better say nothing at all language is worth a thousand pounds a word, , , ,1663
1663,you push people when,you can't do anything from,your side impressive,you push people when you can't do anything from your side impressive, , , ,1664
1664,every once in,a while this gets a random,like outta no where,every once in a while this gets a random like outta no where, , , ,1665
1665,getting gassed about,a song and sending it to,your friends is the best,getting gassed about a song and sending it to your friends is the best, , , ,1666
1666,but behold i will,rise up early in the stead,of his redemption,but behold i will rise up early in the stead of his redemption, , , ,1667
1667,damn now i really,have to learn how to drive i,felt that in my lungs,damn now i really have to learn how to drive i felt that in my lungs, , , ,1668
1668,only regret i,regret is regretting the,things i've regretted,only regret i regret is regretting the things i've regretted, , , ,1669
1669,i'm driving call me,or i'll see your message when,i get to where i,i'm driving call me or i'll see your message when i get to where i, , , ,1670
1670,hopefully one day,just hit me up and i shall,be at your service,hopefully one day just hit me up and i shall be at your service, , , ,1671
1671,my loyalty runs,deeper than anybody's,pockets in this world,my loyalty runs deeper than anybody's pockets in this world, , , ,1672
1672,he said i'm playing,hard to get i said no b,i am hard to get,he said i'm playing hard to get i said no b i am hard to get, , , ,1673
1673,this is gorgeous i,need to have you design some,for me sometime u,this is gorgeous i need to have you design some for me sometime u, , , ,1674
1674,i really think it,must be my turn to win the,lottery say what,i really think it must be my turn to win the lottery say what, , , ,1675
1675,the after church nap,is going to be too real,goodnight good morning,the after church nap is going to be too real goodnight good morning, , , ,1676
1676,open a show on,this yo what's up it's ya boy,fucked up accident,open a show on this yo what's up it's ya boy fucked up accident, , , ,1677
1677,and water does not,clean you out as i don't drink,much of it at all,and water does not clean you out as i don't drink much of it at all, , , ,1678
1678,even if we fall,off i don't wanna let that,take my friend away,even if we fall off i don't wanna let that take my friend away, , , ,1679
1679,is enema of,the state the best blink album,or the best album,is enema of the state the best blink album or the best album, , , ,1680
1680,i don't believe in,second chances you only,get one shot that's it,i don't believe in second chances you only get one shot that's it, , , ,1681
1681,i haven't been on,this account in a while and,i come back popping,i haven't been on this account in a while and i come back popping, , , ,1682
1682,i cant b posting,no woman crush cause if i,get played i'm ruthless,i cant b posting no woman crush cause if i get played i'm ruthless, , , ,1683
1683,eric says i just,wanted to tell you that it,is raining sports term,eric says i just wanted to tell you that it is raining sports term, , , ,1684
1684,never take someone's,feelings as a joke you don't,know how much it hurts,never take someone's feelings as a joke you don't know how much it hurts, , , ,1685
1685,i hate breaking out,literally want to set,my face on fire,i hate breaking out literally want to set my face on fire, , , ,1686
1686,warriors shouldn't,give the ball to durant give,it to chef curry,warriors shouldn't give the ball to durant give it to chef curry, , , ,1687
1687,yesterday is gone,tomorrow is mystery,today is blessing,yesterday is gone tomorrow is mystery today is blessing, , , ,1688
1688,red velvet really,bad boy but at the end they,say really bad bitch,red velvet really bad boy but at the end they say really bad bitch, , , ,1689
1689,she doesn't know the,basics clueless like the rest,of those crazy loons,she doesn't know the basics clueless like the rest of those crazy loons, , , ,1690
1690,i wonder how it,is for someone to fly you,out on vacation,i wonder how it is for someone to fly you out on vacation, , , ,1691
1691,well the table has,turned and i don't know if i,like it or hate it,well the table has turned and i don't know if i like it or hate it, , , ,1692
1692,they just released this,new videos flavor its,called virtual boy,they just released this new videos flavor its called virtual boy, , , ,1693
1693,no because it won't,be in their manifesto,it's a false premise,no because it won't be in their manifesto it's a false premise, , , ,1694
1694,i wanna give him,the most giant cuddle look,at this smiley boy,i wanna give him the most giant cuddle look at this smiley boy, , , ,1695
1695,the sequel to the,social network is going,to be excellent,the sequel to the social network is going to be excellent, , , ,1696
1696,trying my best to,handle shit but i don't know,how much i can take,trying my best to handle shit but i don't know how much i can take, , , ,1697
1697,maybe i can get,my ugly cheer socks to shrink,in the wash instead,maybe i can get my ugly cheer socks to shrink in the wash instead, , , ,1698
1698,my work computer,blue screens about once a day,which really whips ass,my work computer blue screens about once a day which really whips ass, , , ,1699
1699,i will call upon,the lord for he alone is,strong enough to save,i will call upon the lord for he alone is strong enough to save, , , ,1700
1700,is supreme leader,giving any speech tonight,like he did last year,is supreme leader giving any speech tonight like he did last year, , , ,1701
1701,thinking about just,leaving michigan before,the new year for good,thinking about just leaving michigan before the new year for good, , , ,1702
1702,good morning sir from,a fellow man of god and,a fellow cowboy,good morning sir from a fellow man of god and a fellow cowboy, , , ,1703
1703,you are the person,that someone is praying to,find remember that,you are the person that someone is praying to find remember that, , , ,1704
1704,i am the biggest,paranoid freak in the world,how do ye stop it,i am the biggest paranoid freak in the world how do ye stop it, , , ,1705
1705,having to morning,classes back to back is not,the move anymore,having to morning classes back to back is not the move anymore, , , ,1706
1706,you wanna be this,queen b but you can't be that's,why you mad at me,you wanna be this queen b but you can't be that's why you mad at me, , , ,1707
1707,king happy birthday,man god's blessings of good health,and prosperity,king happy birthday man god's blessings of good health and prosperity, , , ,1708
1708,actually i,think my real one is lil trash,can for the bathroom,actually i think my real one is lil trash can for the bathroom, , , ,1709
1709,little memories,marching on your little feet,working the machine,little memories marching on your little feet working the machine, , , ,1710
1710,ion wish bad on,people but bitch this world don't,need people like you,ion wish bad on people but bitch this world don't need people like you, , , ,1711
1711,fuck me gently with,a chainsaw do i look like,mother teresa,fuck me gently with a chainsaw do i look like mother teresa, , , ,1712
1712,sometimes you're played as,the fool and for me it tends,to happen a lot,sometimes you're played as the fool and for me it tends to happen a lot, , , ,1713
1713,can i mr stark,i don't feel so good myself,before these finals,can i mr stark i don't feel so good myself before these finals, , , ,1714
1714,that's per employee,not including incentive,programs benefits,that's per employee not including incentive programs benefits, , , ,1715
1715,if i wanted to,be lonely all the fucking,time i'd be single,if i wanted to be lonely all the fucking time i'd be single, , , ,1716
1716,i got so many,charges make me wanna go,run way over seas,i got so many charges make me wanna go run way over seas, , , ,1717
1717,go to bed early,they say it's now half past five,that's way too early,go to bed early they say it's now half past five that's way too early, , , ,1718
1718,so adam is in,london in europe so close,but so far away,so adam is in london in europe so close but so far away, , , ,1719
1719,you scared of being,lonely lil baby bitch i'm,scared of being broke,you scared of being lonely lil baby bitch i'm scared of being broke, , , ,1720
1720,listening to chop,suey by system of a,down on my echo,listening to chop suey by system of a down on my echo, , , ,1721
1721,i will legit be,the biggest baby if i,work on my birthday,i will legit be the biggest baby if i work on my birthday, , , ,1722
1722,papa let me sleep,and let's talk deeply give me,your best and warm hug,papa let me sleep and let's talk deeply give me your best and warm hug, , , ,1723
1723,the hut itself smells,rancid the crows smell good like,cinnamon oatmeal,the hut itself smells rancid the crows smell good like cinnamon oatmeal, , , ,1724
1724,people with the most,caring and kindest hearts felt,and feel the most pain,people with the most caring and kindest hearts felt and feel the most pain, , , ,1725
1725,eating because im,depressed or depressed because,im eating who knows,eating because im depressed or depressed because im eating who knows, , , ,1726
1726,great playing tonight,man hey message me if you,could so we can talk,great playing tonight man hey message me if you could so we can talk, , , ,1727
1727,i really miss john,schlitt it's been months i really,need to find a song,i really miss john schlitt it's been months i really need to find a song, , , ,1728
1728,dying inside to,hold you i couldn't believe,what i felt for you,dying inside to hold you i couldn't believe what i felt for you, , , ,1729
1729,i have never been,more okay with dying in,my entire life,i have never been more okay with dying in my entire life, , , ,1730
1730,i present you teen,vogue stay woke folks weird how to,them while for kids me,i present you teen vogue stay woke folks weird how to them while for kids me, , , ,1731
1731,see forever when,i see your face and i swear,god made you for me,see forever when i see your face and i swear god made you for me, , , ,1732
1732,i really hate how,my throat is hurting it's so,uncomfortable,i really hate how my throat is hurting it's so uncomfortable, , , ,1733
1733,look at those bedroom,eyes wyatt is so screwed pun,fully intended,look at those bedroom eyes wyatt is so screwed pun fully intended, , , ,1734
1734,ariana grande,is fucking magnificent,i love her so much,ariana grande is fucking magnificent i love her so much, , , ,1735
1735,are you old enough,to know what nationalized,industries were like,are you old enough to know what nationalized industries were like, , , ,1736
1736,y'all start something up,i need entertainment for,these next few hours,y'all start something up i need entertainment for these next few hours, , , ,1737
1737,when they say body,like a coke bottle which one,are you i'm the first,when they say body like a coke bottle which one are you i'm the first, , , ,1738
1738,intro music to,the super bowl is like the,guards vs the cons,intro music to the super bowl is like the guards vs the cons, , , ,1739
1739,me baby just gone,stay to ourselves don't need,time from anymore,me baby just gone stay to ourselves don't need time from anymore, , , ,1740
1740,looked in the mirror,and said don't let the money,come in between us,looked in the mirror and said don't let the money come in between us, , , ,1741
1741,never forget that,mac miller has a fear of,soda in a cup,never forget that mac miller has a fear of soda in a cup, , , ,1742
1742,i beg to differ,you said my weed was shit and,it's not you were wrong,i beg to differ you said my weed was shit and it's not you were wrong, , , ,1743
1743,i have a feeling,someone else is about to,tweet from my account,i have a feeling someone else is about to tweet from my account, , , ,1744
1744,i'm gonna go to,sleep now this is me trying,to convince myself,i'm gonna go to sleep now this is me trying to convince myself, , , ,1745
1745,a static canvas,teeming with the inert life,the moving colors,a static canvas teeming with the inert life the moving colors, , , ,1746
1746,vegetarian,is the old indian word,for suck at hunting,vegetarian is the old indian word for suck at hunting, , , ,1747
1747,your sons forehead is,bigger than his future has,finished me tonight,your sons forehead is bigger than his future has finished me tonight, , , ,1748
1748,even his hair on,his hand seems cute to me is,this what they call love,even his hair on his hand seems cute to me is this what they call love, , , ,1749
1749,dumbo always knew,how to fly he just needed,a magic feather,dumbo always knew how to fly he just needed a magic feather, , , ,1750
1750,everyone stop and,look at how adorable,he is i'm crying,everyone stop and look at how adorable he is i'm crying, , , ,1751
1751,somewhere deep in the,pits of hell art modell is,laughing his ass off,somewhere deep in the pits of hell art modell is laughing his ass off, , , ,1752
1752,if i get enough,speed do you think i can run,on the ceiling though,if i get enough speed do you think i can run on the ceiling though, , , ,1753
1753,boyfriend and i just,found out horror movies help,a lot always do,boyfriend and i just found out horror movies help a lot always do, , , ,1754
1754,lets smoke cigarettes,and jam out to modest mouse,and arcade fire,lets smoke cigarettes and jam out to modest mouse and arcade fire, , , ,1755
1755,canada any,plans on opening a branch,on salt spring island,canada any plans on opening a branch on salt spring island, , , ,1756
1756,baby boy is such,a good ass movie i stay,watching this shit too,baby boy is such a good ass movie i stay watching this shit too, , , ,1757
1757,sits back and watches,the timeline in amusement,while eating popcorn,sits back and watches the timeline in amusement while eating popcorn, , , ,1758
1758,all i listen to,is trap music fucking hoes,and killing music,all i listen to is trap music fucking hoes and killing music, , , ,1759
1759,almost gonna be,a year and i haven't stopped,thinking about you,almost gonna be a year and i haven't stopped thinking about you, , , ,1760
1760,today has been such,a bad day and i just need,it to be over,today has been such a bad day and i just need it to be over, , , ,1761
1761,i'm so happy and,thinking about it makes me,even happier,i'm so happy and thinking about it makes me even happier, , , ,1762
1762,sometimes you gotta,go through hard times if it means,bettering yourself,sometimes you gotta go through hard times if it means bettering yourself, , , ,1763
1763,uncle yuichi is,really nice i'm glad he moved,in with me and mom,uncle yuichi is really nice i'm glad he moved in with me and mom, , , ,1764
1764,can we stop using,female in place of woman,like seriously,can we stop using female in place of woman like seriously, , , ,1765
1765,if i was enrolled,in virginia i'd transfer,immediately,if i was enrolled in virginia i'd transfer immediately, , , ,1766
1766,has to listen to,something has responses on,note cards i hear you,has to listen to something has responses on note cards i hear you, , , ,1767
1767,petition for u,to stop being so cute and,come spend nye with me,petition for u to stop being so cute and come spend nye with me, , , ,1768
1768,oh they were being,serious when they said they,are changing their names,oh they were being serious when they said they are changing their names, , , ,1769
1769,i really have a,serious addiction to,tattoos i can't stop,i really have a serious addiction to tattoos i can't stop, , , ,1770
1770,eating pizza and,drinking with my new roommate,is fun i like this,eating pizza and drinking with my new roommate is fun i like this, , , ,1771
1771,even the nicest,people has their own limit,im only human,even the nicest people has their own limit im only human, , , ,1772
1772,every time i,see a red bird i blow a,kiss and make a wish,every time i see a red bird i blow a kiss and make a wish, , , ,1773
1773,one exam tonight,and another on wednesday,and then i can rest,one exam tonight and another on wednesday and then i can rest, , , ,1774
1774,success is the sum,of small efforts repeated,day in and day out,success is the sum of small efforts repeated day in and day out, , , ,1775
1775,he legit only,overthrows odell no one,else i don't get it,he legit only overthrows odell no one else i don't get it, , , ,1776
1776,happy valentine's,day to all have a blessed and,memorable day,happy valentine's day to all have a blessed and memorable day, , , ,1777
1777,tip for the artist,of the first song they say they,are not from finland,tip for the artist of the first song they say they are not from finland, , , ,1778
1778,my income is large,amounts only if i could,manage it better,my income is large amounts only if i could manage it better, , , ,1779
1779,i'm really on the,verge of tears but i'm in the,train how wonderful,i'm really on the verge of tears but i'm in the train how wonderful, , , ,1780
1780,i should of assumed,but you should of said that in,the beginning tweet,i should of assumed but you should of said that in the beginning tweet, , , ,1781
1781,when the molly hit,and you're trying to feel the,air on your nipples,when the molly hit and you're trying to feel the air on your nipples, , , ,1782
1782,she wasn't enough,for anyone that's why she,was always crying,she wasn't enough for anyone that's why she was always crying, , , ,1783
1783,stomach i'm hungry,brain iced coffee stomach food,brain iced coffee d,stomach i'm hungry brain iced coffee stomach food brain iced coffee d, , , ,1784
1784,i wanna do a,duet with someone on this,song so so so bad,i wanna do a duet with someone on this song so so so bad, , , ,1785
1785,the real season starts,tonight titans get it done,men good luck tonight,the real season starts tonight titans get it done men good luck tonight, , , ,1786
1786,western culture is,about the only culture,that doesn't eat dogs,western culture is about the only culture that doesn't eat dogs, , , ,1787
1787,yep working hard for,america is surely,a crime idiot,yep working hard for america is surely a crime idiot, , , ,1788
1788,just sent a custom,get well soon card to tom's po,box for his grandad,just sent a custom get well soon card to tom's po box for his grandad, , , ,1789
1789,if you have only,one smile in you give it to,the people you love,if you have only one smile in you give it to the people you love, , , ,1790
1790,quicker you get the,hint hun the better it will,be for both of us,quicker you get the hint hun the better it will be for both of us, , , ,1791
1791,ian dempsey is,playing this morning on the,show at the moment,ian dempsey is playing this morning on the show at the moment, , , ,1792
1792,my objection why,does it make you look gross oh,because one is gross,my objection why does it make you look gross oh because one is gross, , , ,1793
1793,does anyone else,hate lip gallagher or is,it just really me,does anyone else hate lip gallagher or is it just really me, , , ,1794
1794,a four hour snooze,nap later what a struggle,it was to get up,a four hour snooze nap later what a struggle it was to get up, , , ,1795
1795,school's really starting,up tomorrow again ugh,i miss korea,school's really starting up tomorrow again ugh i miss korea, , , ,1796
1796,i watched jurassic,world at work and honestly,it was really good,i watched jurassic world at work and honestly it was really good, , , ,1797
1797,'cause the color of,that blue sky just reminds me,of our goodbye,'cause the color of that blue sky just reminds me of our goodbye, , , ,1798
1798,it's gonna take a,lot for me to call a dude,my boyfriend again,it's gonna take a lot for me to call a dude my boyfriend again, , , ,1799
1799,anyway moral,of the story is be nice,but don't be too nice,anyway moral of the story is be nice but don't be too nice, , , ,1800
1800,are you kidding me,then give me back half of what,i pre ordered then,are you kidding me then give me back half of what i pre ordered then, , , ,1801
1801,i hate people that,hate my dogs they're cuter than,your kids anyways,i hate people that hate my dogs they're cuter than your kids anyways, , , ,1802
1802,i had the nicest,uber driver this morning,and it made my day,i had the nicest uber driver this morning and it made my day, , , ,1803
1803,carefully she stretched,herself out making sure to,stay quiet with it,carefully she stretched herself out making sure to stay quiet with it, , , ,1804
1804,i legit never,heard this dude speak above a,mumble that laugh though,i legit never heard this dude speak above a mumble that laugh though, , , ,1805
1805,are we allowed to,use a picture of isla,on the christmas card,are we allowed to use a picture of isla on the christmas card, , , ,1806
1806,if i ever have,a son he gonna have long,hair to his belly,if i ever have a son he gonna have long hair to his belly, , , ,1807
1807,the fattest dog came,bounding into my office,this morning day made,the fattest dog came bounding into my office this morning day made, , , ,1808
1808,swap out harden and,lebron these playoffs what team,is better with who,swap out harden and lebron these playoffs what team is better with who, , , ,1809
1809,you believe their lies,because in the end you trust,no one but yourself,you believe their lies because in the end you trust no one but yourself, , , ,1810
1810,if you cannot help,me out why the hell would you,think i would help you,if you cannot help me out why the hell would you think i would help you, , , ,1811
1811,has jacques always been,on grapevine or have i not,watched it in so long,has jacques always been on grapevine or have i not watched it in so long, , , ,1812
1812,i sprained my ankle,and i still have to walk the,dog this is not it,i sprained my ankle and i still have to walk the dog this is not it, , , ,1813
1813,i love being lied,to and left in the dark it,means so much thank you,i love being lied to and left in the dark it means so much thank you, , , ,1814
1814,glad i'm not going,next year finding a decent,holiday instead,glad i'm not going next year finding a decent holiday instead, , , ,1815
1815,i literally,can't stop eating burritos,so i was before,i literally can't stop eating burritos so i was before, , , ,1816
1816,i forgot how bad,it sucks when everyone you,met at ju co leaves,i forgot how bad it sucks when everyone you met at ju co leaves, , , ,1817
1817,oh my fucking god,hank hill in kingdom hearts is,my dream crossover,oh my fucking god hank hill in kingdom hearts is my dream crossover, , , ,1818
1818,i will never buy,another stephen king book,or movie again,i will never buy another stephen king book or movie again, , , ,1819
1819,probably because,she was about five years old,when it was written,probably because she was about five years old when it was written, , , ,1820
1820,please respond i need,physical contact i've been,locked in the cellar,please respond i need physical contact i've been locked in the cellar, , , ,1821
1821,seems amazing that,some people continue to,reject this advice,seems amazing that some people continue to reject this advice, , , ,1822
1822,everyone needs a,guy in their life endless love,comfort and softness,everyone needs a guy in their life endless love comfort and softness, , , ,1823
1823,everything seems to,be going right again how,i love this so much,everything seems to be going right again how i love this so much, , , ,1824
